,value,distance,amount
0,0.0,5111.3,53.15
1,5.0,515.5,5.36
2,7.0,497.4,5.17
3,65.0,373.9,3.89
4,29.0,338.9,3.52
5,1.0,328.2,3.41
6,10.0,236.4,2.46
7,89.0,209.0,2.17
8,22.0,179.9,1.87
9,2.0,148.7,1.55
10,21.0,146.6,1.52
11,16.0,132.8,1.38
12,78.0,128.9,1.34
13,19.0,125.3,1.3
14,13.0,121.8,1.27
15,41.0,105.7,1.1
16,26.0,103.0,1.07
17,33.0,99.0,1.03
18,83.0,79.7,0.83
19,70.0,77.0,0.8
20,99.0,66.4,0.69
21,40.0,64.0,0.67
22,49.0,63.0,0.66
23,84.0,62.0,0.65
24,71.0,57.3,0.6
25,61.0,51.5,0.54
26,74.0,43.9,0.46
27,38.0,27.3,0.28
28,50.0,25.6,0.27
29,20.0,25.7,0.27
30,14.0,22.4,0.23
31,25.0,20.7,0.22
32,100.0,13.2,0.14
33,76.0,8.2,0.09
34,46.0,4.3,0.04
35,92.0,1.5,0.02
